time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.85662	0.67369	7.7556	4.58358e-17	2.58706e-17	radar	8.21874	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.17031	0.492677	7.8678	-0.0510802	-0.136219	lidar	0.0960933	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.28857	0.557141	7.02695	-0.0474983	-0.225551	radar	3.52082	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.63501	0.575382	6.96445	0.0356336	0.172928	lidar	0.220051	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.86161	0.570931	5.92039	0.00247885	-0.331837	radar	2.52723	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16377	0.594334	5.89948	0.028041	-0.114664	lidar	0.236887	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37384	0.64673	5.52231	0.0857796	0.0210629	radar	4.16798	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64716	0.667807	5.52685	0.0834388	0.00500304	lidar	0.00416699	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91479	0.656104	5.49666	0.0259252	-0.246159	radar	0.247719	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14943	0.656906	5.4538	0.018985	-0.226398	lidar	1.07924	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43905	0.541737	5.49578	-0.154271	-0.760475	radar	1.48227	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74358	0.426161	5.56243	-0.279972	-1.0169	lidar	2.17378	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02259	0.517773	5.53231	-0.131368	-0.471608	radar	4.01629	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29696	0.511326	5.52004	-0.123474	-0.396138	lidar	0.307757	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55712	0.546694	5.45305	-0.0845941	-0.271556	radar	1.96724	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74746	0.654008	5.3091	0.0156299	-0.037851	lidar	12.4897	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00034	0.651423	5.25893	0.00527723	-0.0554961	radar	2.2557	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30281	0.648549	5.30693	-0.00177735	-0.0629636	lidar	2.4654	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56035	0.656404	5.31071	0.00310632	-0.0485591	radar	1.578	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85455	0.672575	5.34181	0.0105585	-0.0324162	lidar	1.54878	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09925	0.599007	5.29829	-0.0425062	-0.113038	radar	4.11774	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35676	0.711278	5.27785	0.0293847	0.0016583	lidar	3.83363	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60888	0.74193	5.24836	0.04253	0.0200194	radar	0.87681	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85814	0.740997	5.23574	0.0368795	0.011155	lidar	0.345317	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.10536	0.724364	5.18829	0.0217863	-0.00922596	radar	3.88803	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.32947	0.807155	5.14875	0.0630204	0.0428188	lidar	3.45343	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.61646	0.819027	5.19884	0.0625022	0.0393327	radar	3.59109	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.86718	0.799157	5.19029	0.0467447	0.0190205	lidar	0.606679	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.12032	0.816586	5.16048	0.0496693	0.0210905	radar	2.83654	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.35974	0.834521	5.14198	0.053508	0.0242645	lidar	0.647306	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.62329	0.917437	5.17468	0.0861702	0.0572464	radar	6.55009	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.86105	0.974919	5.15545	0.104814	0.0734491	lidar	1.04269	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14628	1.01144	5.18959	0.111521	0.0761484	radar	6.48527	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.38385	1.04544	5.16949	0.117875	0.078796	lidar	0.843984	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65938	1.11199	5.19838	0.1356	0.0915701	radar	4.51974	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92941	1.23252	5.21758	0.173156	0.121794	lidar	3.5269	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1828	1.31207	5.19612	0.192841	0.134375	radar	4.97531	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4108	1.39357	5.17253	0.212274	0.145903	lidar	1.6323	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6507	1.46837	5.13151	0.228161	0.154046	radar	4.84064	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8794	1.50994	5.1082	0.230587	0.149751	lidar	1.30227	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1422	1.55918	5.12397	0.233688	0.145836	radar	1.45712	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4169	1.61392	5.14895	0.237687	0.142817	lidar	1.48056	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6524	1.66923	5.12073	0.243886	0.142398	radar	1.15684	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8842	1.73834	5.10569	0.254127	0.145113	lidar	0.575053	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1371	1.8201	5.12597	0.266256	0.148821	radar	1.28283	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3783	1.86236	5.11476	0.265476	0.142233	lidar	0.519654	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6305	1.92302	5.13136	0.269435	0.139385	radar	0.843125	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8356	2.04611	5.10251	0.29654	0.155858	lidar	4.1305	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0966	2.14255	5.14507	0.309051	0.158955	radar	3.70124	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3032	2.27519	5.12128	0.336583	0.174869	lidar	3.5204	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4983	2.39554	5.05911	0.360929	0.188594	radar	12.2552	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7443	2.51819	5.07792	0.379603	0.19585	lidar	1.07186	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9688	2.61887	5.06104	0.392432	0.198704	radar	0.540525	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.197	2.77236	5.07373	0.419816	0.212581	lidar	1.70419	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4426	2.87498	5.10199	0.427545	0.209401	radar	1.05216	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6478	2.96977	5.07251	0.436809	0.208706	lidar	1.96504	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8791	3.1045	5.09605	0.454121	0.213541	radar	4.40478	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0877	3.29027	5.10493	0.488544	0.232576	lidar	3.00491	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3066	3.43367	5.09679	0.508383	0.239896	radar	3.28751	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5189	3.62437	5.11518	0.540671	0.256089	lidar	2.4623	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7341	3.74852	5.1051	0.551567	0.254852	radar	0.602472	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9502	3.91075	5.11715	0.572222	0.26112	lidar	0.50289	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1552	4.05777	5.0924	0.590509	0.266937	radar	2.30014	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.352	4.26009	5.10927	0.622535	0.281875	lidar	2.03765	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5642	4.4124	5.11417	0.636535	0.281842	radar	0.493344	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7414	4.59747	5.10696	0.66335	0.29224	lidar	1.36973	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.912	4.77042	5.05318	0.690764	0.306252	radar	6.65411	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
